flat_id;period;cold_water;hot_water;power_supply;sewage
1154465;01.10.2024;9,7;8,02;186;17,72
1154465;01.11.2024;9,7;8,02;186;17,72
1154467;01.09.2024;0,4466;1,117;227,77;1,5636
1154467;01.10.2024;0,408;3,673;30;4,081
1154467;01.11.2024;9,07;6,39;172;15,46
1154497;01.09.2024;4,85;4,3333;229,83;9,1833
1154497;01.10.2024;7,033;3,934;181,967;10,967
1154497;01.11.2024;8;4;216;12
1154499;01.09.2024;11;0;394;11
1154499;01.10.2024;13;0;432;13
1154499;01.11.2024;13;0;474;13
1154501;01.09.2024;19,4;0;62;19,4
1154501;01.10.2024;19,4;0;717;19,4
1154501;01.11.2024;19,4;0;597;19,4
1154549;01.09.2024;4,85;4,01;53;8,86
1154549;01.10.2024;4,85;4,01;53;8,86
1154549;01.11.2024;4,85;4,01;53;8,86
1154946;01.09.2024;0,75;1,45;39,09;2,2
1154946;01.10.2024;0,322;0,917;48,84;1,239
1154946;01.11.2024;3,28;2,47;42,01;5,75
1155022;01.09.2024;5,8;3,34;113,49;9,14
1155022;01.10.2024;5,8;3,34;122,49;9,14
1155022;01.11.2024;5,8;3,34;124,518;9,14
1155024;01.09.2024;6,9;3,7;117;10,6
1155024;01.10.2024;5,6;3,3;122;8,9
1155024;01.11.2024;3,9;2,1;100;6
1155026;01.09.2024;9,7;8,02;23,6;17,72
1155026;01.10.2024;9,7;8,02;58;17,72
1155026;01.11.2024;2,7152;8,02;57,34;10,7352
1155035;01.08.2024;8,402;0;196,72;8,402
1155035;01.10.2024;7,3352;0,2298;271;7,565
1155035;01.11.2024;7,65;0,55;140;8,2
1155081;01.06.2024;5,3333;2,8333;104,33;8,1666
1155081;01.08.2024;5;2;100;7
1155081;01.09.2024;7;6;121;13
1155081;01.10.2024;12;0;108;12
1155178;01.08.2024;5,3;0;86,841;5,3
1155178;01.10.2024;1,9323;2,1677;81,8;4,1
1155281;01.08.2024;1,31;5,3239;149,82;
1155281;01.09.2024;1,26;9,1227;151,44;
1155281;01.10.2024;1,52;9,8959;151,08;
1155300;01.08.2024;6;6;195;12
1155300;01.09.2024;0;0;0;0
1155300;01.10.2024;0;0;0;0
1155300;01.11.2024;9;0;192;9
1155301;01.08.2024;27;0,9;370,9;27,9
1155301;01.09.2024;15,2466;0,2066;285,13;15,4532
1155301;01.10.2024;15,2466;0,2066;292,427;15,4532
1155301;01.11.2024;15,2466;0,2066;295,7;15,4532
1155302;01.08.2024;17,0216;2,83943;1037,79;19,7114
1155302;01.09.2024;17,0216;2,83943;1037,79;19,7114
1155302;01.10.2024;26,58;0,59091;297;26,58
1155303;01.08.2024;7,09;0,48559;168,58;7,55
1155303;01.09.2024;6,94;0,72838;187,35;7,63
1155303;01.10.2024;8,2775;0,03551;195,72;8,2775
1155312;01.09.2024;4,85;4,27089;102;8,86
1155312;01.10.2024;4,85;4,27089;102;8,86
1155312;01.11.2024;4,85;4,27089;102;8,86
1155314;01.09.2024;2,85;2,39979;139,5;5,1166
1155314;01.10.2024;2,85;2,39979;139,5;5,1166
1155314;01.11.2024;2,864;2,17681;143,207;4,92
1155316;01.09.2024;4;1,06506;150;5
1155316;01.10.2024;2;4,26024;2;6
1155316;01.11.2024;18;2,13012;58;20
1155318;01.09.2024;7,7;5,98564;70;13,32
1155318;01.10.2024;7,7;5,98564;30;13,32
1155318;01.11.2024;7,7;5,98564;30;13,32
1155322;01.09.2024;9,7;8,54178;107,6;17,72
1155322;01.10.2024;9,7;8,54178;114,1;17,72
1155322;01.11.2024;9,7;8,54178;125;17,72
1155326;01.09.2024;1,6833;1,72188;22,16;3,3
1155326;01.10.2024;1,59;1,66149;22,5;3,15
1155326;01.11.2024;1,1467;2,04673;22,33;3,0684
1155330;01.09.2024;19,4;10,01156;204;28,8
1155330;01.10.2024;19,4;6,39036;204;25,4
1155330;01.11.2024;19,4;5,53831;204;24,6
1155332;01.09.2024;6,355;3,98333;140,08;10,095
1155332;01.10.2024;7,805;3,64591;149,72;11,2282
1155332;01.11.2024;8,482;2,86927;154,787;11,176
1155334;01.09.2024;5;6,39036;135;11
1155334;01.10.2024;5;8,52048;196;13
1155334;01.11.2024;4;5,3253;67;9
1155338;01.09.2024;4,2;3,536;129,45;7,52
1155338;01.10.2024;3,97;2,68395;126,05;6,49
1155338;01.11.2024;5,77;3,24843;146,08;8,82
1155340;01.09.2024;7,1666;0;343,67;7,1666
1155340;01.10.2024;8,361;0;302,951;8,361
1155340;01.11.2024;10;0;423;10
1155344;01.09.2024;9,7;8,54178;61;17,72
1155344;01.10.2024;9,7;8,54178;91;17,72
1155344;01.11.2024;9,7;8,54178;72;17,72
1155346;01.09.2024;15,0193;17,08356;204;31,0593
1155346;01.10.2024;19,4;17,08356;204;35,44
1155346;01.11.2024;24,25;21,35445;225;44,3
1155348;01.09.2024;9,7;8,54178;126;17,72
1155348;01.10.2024;9,7;8,54178;126;17,72
1155348;01.11.2024;9,7;8,54178;126;17,72
1155350;01.09.2024;2;0;80;2
1155350;01.10.2024;0;2,4851;80;2,3333
1155350;01.11.2024;1;1,0821;40;2,016
1155351;01.09.2024;19,4;16,98251;57,34;35,44
1155351;01.10.2024;5,803;3,43673;64,918;9,049
1155351;01.11.2024;4,5;2,6469;55;7
1155353;01.09.2024;3,087;8,54178;48,415;11,107
1155353;01.10.2024;3,6116;8,54178;51,98;11,6316
1155353;01.11.2024;4,341;8,54178;29,349;12,361
1155701;01.08.2024;10,58;0,26674;145;10,58
